
> relight-prototype@0.1.0 city:validate
> tsx packages/harness/src/cityValidationCli.ts --seeds 80,88,102,105,113,206,252,272,296,305,380,443,473,490,503,574,584,592,596,645,670,700,737,749,808,842,852,858,883,889,900,933,970,988,1054,1139,1181,1261,1264,1282,1304,1319,1328,1334,1340,1343,1355,1435,1481,1520,1544,1781,1904,1945,1947,1975,2011,2038,2076,2098,2105,2106,2138,2148,2170,2173,2202,2219,2235,2274,2280,2312,2313,2341,2366,2369,2448,2468,2506,2716,2732,2863,2870,2876,2925,2933,2942,2975,2996,3054,3199,3231,3296,3408,3480,3517,3524,3526,3554,3610,3651,3659,3750,3792,3814,3888,3891,3908,3994,4035,4037,4066,4075,4316,4331,4336,4355,4377,4500,4506,4517,4588,4654,4657,4677,4696,4709,4721,4774,4778,4863,4887,4931,4970,4977,4989,5001,5021,5051,5082,5090,5130,5138,5164,5196,5200,5215,5302,5319,5406,5597,5602,5610,5627,5660,5671,5682,5757,5913,5932,5969,6023,6027,6054,6065,6114,6169,6173,6197,6200,6226,6241,6395,6411,6464,6472,6484,6491,6589,6711,6713,6752,6832,6875,6902,6909,6935,6972,6987,7028,7148,7167,7172,7262,7324,7328,7373,7384,7395,7411,7483,7574,7617,7627,7630,7639,7722,7730,7781,8000,8057,8079,8102,8117,8156,8191,8222,8243,8318,8358,8376,8413,8449,8566,8595,8605,8670,8716,8813,8830,8894,8895,8958,8967,8989,9043,9044,9087,9161,9164,9185,9258,9314,9322,9334,9474,9533,9594,9665,9681,9701,9711,9734,9866,9868,9900,9904,9909 --out docs/evidence/p9-04r-2026-09-09/failed-seeds-1 --workers 12

86/258: seed 2975 passed; 0 findings; 2937 ms
87/258: seed 2996 passed; 0 findings; 3186 ms
88/258: seed 3054 passed; 0 findings; 3319 ms
89/258: seed 3296 passed; 0 findings; 3136 ms
90/258: seed 3199 passed; 0 findings; 3697 ms
91/258: seed 3231 passed; 0 findings; 3985 ms
92/258: seed 3408 passed; 0 findings; 3771 ms
93/258: seed 3517 passed; 0 findings; 2991 ms
94/258: seed 3480 passed; 0 findings; 3655 ms
95/258: seed 3526 passed; 0 findings; 2954 ms
96/258: seed 3524 passed; 0 findings; 3594 ms
97/258: seed 3610 passed; 0 findings; 2948 ms
98/258: seed 3651 passed; 0 findings; 3476 ms
99/258: seed 3792 passed; 0 findings; 3076 ms
100/258: seed 3814 passed; 0 findings; 3046 ms
101/258: seed 3659 passed; 0 findings; 3733 ms
102/258: seed 3750 passed; 0 findings; 3445 ms
103/258: seed 3891 passed; 0 findings; 3102 ms
104/258: seed 3554 passed; 0 findings; 5623 ms
105/258: seed 3908 passed; 0 findings; 2929 ms
106/258: seed 3888 passed; 0 findings; 4113 ms
107/258: seed 3994 passed; 0 findings; 3467 ms
108/258: seed 4035 passed; 0 findings; 3865 ms
109/258: seed 4037 passed; 0 findings; 3448 ms
110/258: seed 4075 passed; 0 findings; 3357 ms
111/258: seed 4331 passed; 0 findings; 3362 ms
112/258: seed 4066 passed; 0 findings; 3756 ms
113/258: seed 4355 passed; 0 findings; 3169 ms
114/258: seed 4336 passed; 0 findings; 3584 ms
115/258: seed 4316 passed; 0 findings; 4125 ms
116/258: seed 4377 passed; 0 findings; 3204 ms
117/258: seed 4500 passed; 0 findings; 3159 ms
118/258: seed 4517 passed; 0 findings; 3085 ms
119/258: seed 4588 passed; 0 findings; 3526 ms
120/258: seed 4506 passed; 0 findings; 3985 ms
121/258: seed 4657 passed; 0 findings; 3600 ms
122/258: seed 4677 passed; 0 findings; 3607 ms
123/258: seed 4721 passed; 0 findings; 3449 ms
124/258: seed 4709 passed; 0 findings; 3826 ms
125/258: seed 4654 passed; 0 findings; 4445 ms
126/258: seed 4696 passed; 0 findings; 4714 ms
127/258: seed 4774 passed; 0 findings; 4059 ms
128/258: seed 4778 passed; 0 findings; 3846 ms
129/258: seed 4863 passed; 0 findings; 3636 ms
130/258: seed 4970 passed; 0 findings; 3591 ms
131/258: seed 4887 passed; 0 findings; 3889 ms
132/258: seed 4989 passed; 0 findings; 3960 ms
133/258: seed 5021 passed; 0 findings; 3553 ms
134/258: seed 4931 passed; 0 findings; 4811 ms
135/258: seed 5001 passed; 0 findings; 4127 ms
136/258: seed 4977 passed; 0 findings; 4523 ms
137/258: seed 5051 passed; 0 findings; 3957 ms
138/258: seed 5130 passed; 0 findings; 3118 ms
139/258: seed 5082 passed; 0 findings; 4089 ms
140/258: seed 5090 passed; 0 findings; 3806 ms
141/258: seed 5200 passed; 0 findings; 2896 ms
142/258: seed 5138 passed; 0 findings; 4151 ms
143/258: seed 5164 passed; 0 findings; 3464 ms
144/258: seed 5196 passed; 0 findings; 3475 ms
145/258: seed 5319 passed; 0 findings; 3202 ms
146/258: seed 5302 passed; 0 findings; 3657 ms
147/258: seed 5215 passed; 0 findings; 4298 ms
