
> relight-prototype@0.1.0 city:validate
> tsx packages/harness/src/cityValidationCli.ts --seeds 80,88,102,105,113,206,252,272,296,305,380,443,473,490,503,574,584,592,596,645,670,700,737,749,808,842,852,858,883,889,900,933,970,988,1054,1139,1181,1261,1264,1282,1304,1319,1328,1334,1340,1343,1355,1435,1481,1520,1544,1781,1904,1945,1947,1975,2011,2038,2076,2098,2105,2106,2138,2148,2170,2173,2202,2219,2235,2274,2280,2312,2313,2341,2366,2369,2448,2468,2506,2716,2732,2863,2870,2876,2925,2933,2942,2975,2996,3054,3199,3231,3296,3408,3480,3517,3524,3526,3554,3610,3651,3659,3750,3792,3814,3888,3891,3908,3994,4035,4037,4066,4075,4316,4331,4336,4355,4377,4500,4506,4517,4588,4654,4657,4677,4696,4709,4721,4774,4778,4863,4887,4931,4970,4977,4989,5001,5021,5051,5082,5090,5130,5138,5164,5196,5200,5215,5302,5319,5406,5597,5602,5610,5627,5660,5671,5682,5757,5913,5932,5969,6023,6027,6054,6065,6114,6169,6173,6197,6200,6226,6241,6395,6411,6464,6472,6484,6491,6589,6711,6713,6752,6832,6875,6902,6909,6935,6972,6987,7028,7148,7167,7172,7262,7324,7328,7373,7384,7395,7411,7483,7574,7617,7627,7630,7639,7722,7730,7781,8000,8057,8079,8102,8117,8156,8191,8222,8243,8318,8358,8376,8413,8449,8566,8595,8605,8670,8716,8813,8830,8894,8895,8958,8967,8989,9043,9044,9087,9161,9164,9185,9258,9314,9322,9334,9474,9533,9594,9665,9681,9701,9711,9734,9866,9868,9900,9904,9909 --out docs/evidence/p9-04r-2026-09-09/failed-seeds-final --workers 12

221/258: seed 8413 passed; 0 findings; 3056 ms
222/258: seed 8376 passed; 0 findings; 3418 ms
223/258: seed 8449 passed; 0 findings; 2999 ms
224/258: seed 8605 passed; 0 findings; 2849 ms
225/258: seed 8595 passed; 0 findings; 3345 ms
226/258: seed 8566 passed; 0 findings; 4207 ms
227/258: seed 8813 passed; 0 findings; 3115 ms
228/258: seed 8830 passed; 0 findings; 3053 ms
229/258: seed 8894 passed; 0 findings; 2934 ms
230/258: seed 8716 passed; 0 findings; 3658 ms
231/258: seed 8670 passed; 0 findings; 4312 ms
232/258: seed 8989 passed; 0 findings; 2973 ms
233/258: seed 8958 passed; 0 findings; 3558 ms
234/258: seed 8967 passed; 0 findings; 3470 ms
235/258: seed 9043 passed; 0 findings; 3066 ms
236/258: seed 8895 passed; 0 findings; 4467 ms
237/258: seed 9087 passed; 0 findings; 3036 ms
238/258: seed 9044 passed; 0 findings; 3742 ms
239/258: seed 9258 passed; 0 findings; 3219 ms
240/258: seed 9185 passed; 0 findings; 3368 ms
241/258: seed 9164 passed; 0 findings; 3441 ms
242/258: seed 9322 passed; 0 findings; 3073 ms
243/258: seed 9314 passed; 0 findings; 3706 ms
244/258: seed 9161 passed; 0 findings; 4760 ms
245/258: seed 9334 passed; 0 findings; 3297 ms
246/258: seed 9594 passed; 0 findings; 3156 ms
247/258: seed 9474 passed; 0 findings; 3696 ms
248/258: seed 9533 passed; 0 findings; 3827 ms
249/258: seed 9665 passed; 0 findings; 3170 ms
250/258: seed 9681 passed; 0 findings; 3288 ms
251/258: seed 9711 passed; 0 findings; 3009 ms
252/258: seed 9701 passed; 0 findings; 3341 ms
253/258: seed 9734 passed; 0 findings; 3314 ms
254/258: seed 9900 passed; 0 findings; 2293 ms
255/258: seed 9904 passed; 0 findings; 2392 ms
256/258: seed 9868 passed; 0 findings; 2819 ms
257/258: seed 9909 passed; 0 findings; 2276 ms
258/258: seed 9866 passed; 0 findings; 3243 ms
population complete: 258/258, 0 failed; source unchanged: true
